PLAYERS,POINTS,CREDITS,TEAM,ROLE
H KLAASEN,391,9,SRH,WK
R RICKELTON,397,8,MI,WK
I KISHAN,280,7.5,SRH,WK
R MINZ,14,6,MI,WK
K SHRIJITH,0,5,MI,WK
S YADAV,471,9,MI,BT
T HEAD,462,9,SRH,BT
T VERMA,426,8.5,MI,BT
R SHARMA,118,8,MI,BT
N REDDY,224,7.5,SRH,BT
N DHIR,353,7.5,MI,BT
A VERMA,317,7,SRH,BT
A MANOHAR,36,6,SRH,BT
A TAIDE,0,6,SRH,BT
B JACOBS,0,6,MI,BT
RAJ BAWA,12,5.5,MI,BT
S BABY,0,5,SRH,BT
SMARAN ,0,5,SRH,BT
H PANDYA,499,9,MI,AR
A SHARMA,414,8.5,SRH,AR
K MENDIS,86,7,SRH,AR
M SANTNER,238,7,MI,AR
W MULDER,26,6.5,SRH,AR
WILL JACKS,175,6.5,MI,AR
C BOSCH,0,6,MI,AR
J BUMRAH,59,9,MI,BL
H PATEL,323,8.5,SRH,BL
M SHAMI,201,8,SRH,BL
P CUMMINS,291,8,SRH,BL
T BOULT,216,8,MI,BL
D CHAHAR,240,7.5,MI,BL
A ZAMPA,60,7,SRH,BL
V PUTHUR,198,7,MI,BL
A KUMAR,174,6.5,MI,BL
E MALINGA,74,6.5,SRH,BL
J UNADKAT,6,6.5,SRH,BL
K SHARMA,114,6.5,MI,BL
S SINGH,75,6.5,SRH,BL
Z ANSARI,159,6.5,SRH,BL
MUJEEB,27,6,MI,BL
R CHAHAR,0,6,SRH,BL
R TOPLEY,0,6,MI,BL
S RAJU,40,6,MI,BL
A TENDULKAR,0,5,MI,BL
